Item SKU,Item Name,Sport,Category,Item,Fabric Options,COGS,Wholesale Price,Image Attachments,Line Item Management
FOO-B744,Football - Game Jersey,Football,Uniforms,Game Jersey,Polyester,$15.00,$45.00,,
FOO-XNYF,Football - Game Pants,Football,Uniforms,Game Pants,Polyester/Spandex,$12.00,$35.00,,
FOO-KJ5P,Football - Practice Jersey,Football,Practice Wear,Practice Jersey,Polyester Mesh,$5.00,$15.00,,
FOO-4G6M,Football - Training Shorts,Football,Practice Wear,Training Shorts,"Polyester, 50/50 fleece",$6.00,$20.00,,
FOO-32HF,Football - Compression Tights/Shorts,Football,Practice Wear,Compression Tights/Shorts,Polyester/Spandex,$8.00,$20.00,,
FOO-VFVQ,Football - Team Hoodie,Football,Warm-ups/Outerwear,Team Hoodie,"Cotton/Poly, Polyester fleece",$15.00,$30.00,,
FOO-52XQ,Football - Sweatpants,Football,Warm-ups/Outerwear,Sweatpants,Cotton/Poly fleece,$12.00,$25.00,,
FOO-AZLR,Football - Warm-Up Jacket,Football,Warm-ups/Outerwear,Warm-Up Jacket,Polyester/Nylon,$18.00,$35.00,,
FOO-EDHZ,Football - Football Socks,Football,Accessories,Football Socks,Nylon/Polyester,$2.00,$5.00,,
FOO-NPGP,Football - Belt,Football,Accessories,Belt,Polyester,$1.00,$5.00,,
FOO-Q92V,Football - Knit Beanie,Football,Accessories,Knit Beanie,Acrylic/Polyester,$3.00,$20.00,,
BAS-MYBS,Baseball - Game Pants,Baseball,Uniforms,Game Pants,Polyester/Spandex,$12.00,$30.00,,
BAS-PKJZ,Baseball - Batting Practice Shirt,Baseball,Practice Wear,Batting Practice Shirt,"Polyester, 50/50",$10.00,$15.00,,
BAS-9CKG,Baseball - Training T-Shirt,Baseball,Practice Wear,Training T-Shirt,"Cotton, Poly, Triblend",$4.00,$12.50,,
BAS-P4NN,Baseball - Training Shorts,Baseball,Practice Wear,Training Shorts,Polyester Mesh,$6.00,$20.00,,
BAS-KJVU,Baseball - Warm-Up Jacket,Baseball,Warm-ups/Outerwear,Warm-Up Jacket,Polyester,$15.00,$35.00,,
BAS-L2DF,Baseball - Team Hoodie,Baseball,Warm-ups/Outerwear,Team Hoodie,"Cotton/Poly, Polyester fleece",$15.00,$30.00,,
BAS-HYUA,Baseball - Sweatpants,Baseball,Warm-ups/Outerwear,Sweatpants,Cotton/Poly fleece,$12.00,$25.00,,
BAS-WSQF,Baseball - Baseball Cap,Baseball,Accessories,Baseball Cap,Polyester/Wool,$6.00,$25.00,,
BAS-6XWR,Baseball - Belt,Baseball,Accessories,Belt,Leather/Polyurethane,$1.50,$5.00,,
BAS-OQN9,Baseball - Socks,Baseball,Accessories,Socks,Nylon/Polyester,$2.00,$5.00,,
BAS-D0GJ,Basketball - Game Jersey,Basketball,Uniforms,Game Jersey,"Polyester, Polyester/Spandex",$12.00,$35.00,,
BAS-EPNF,Basketball - Practice Jersey (Reversible),Basketball,Practice Wear,Practice Jersey (Reversible),Polyester Mesh,$6.00,$15.00,,
BAS-U56I,Basketball - Compression Shirt,Basketball,Practice Wear,Compression Shirt,Polyester/Spandex,$8.00,$15.00,,
BAS-NJTY,Basketball - Warm-Up Jacket,Basketball,Warm-ups/Outerwear,Warm-Up Jacket,Polyester,$18.00,$35.00,,
BAS-WGDK,Basketball - Warm-Up Pants,Basketball,Warm-ups/Outerwear,Warm-Up Pants,Polyester,$15.00,$30.00,,
BAS-LCM7,Basketball - Team Hoodie,Basketball,Warm-ups/Outerwear,Team Hoodie,"Cotton/Poly, Polyester fleece",$15.00,$30.00,,
BAS-NQKO,Basketball - Socks,Basketball,Accessories,Socks,Cotton/Polyester,$2.50,$5.00,,
BAS-FZQX,Basketball - Gear Bag,Basketball,Accessories,Gear Bag,Nylon/Polyester,$8.00,$35.00,,
WRE-CUKQ,Wrestling - Fight Shorts,Wrestling,Uniforms,Fight Shorts,Polyester/Spandex,$8.00,$25.00,,
WRE-KXV7,Wrestling - Practice Shorts,Wrestling,Practice Wear,Practice Shorts,Polyester Mesh,$5.00,$20.00,,
WRE-STNE,Wrestling - Compression Top,Wrestling,Practice Wear,Compression Top,Polyester/Spandex,$8.00,$15.00,,
WRE-XNV0,Wrestling - Warm-Up Jacket,Wrestling,Warm-ups/Outerwear,Warm-Up Jacket,Polyester,$15.00,$35.00,,
WRE-L8MD,Wrestling - Warm-Up Pants,Wrestling,Warm-ups/Outerwear,Warm-Up Pants,Polyester,$12.00,$30.00,,
WRE-R7PL,Wrestling - Team Hoodie,Wrestling,Warm-ups/Outerwear,Team Hoodie,Cotton/Poly fleece,$15.00,$30.00,,LI-WRE-pqFUR
WRE-T7ZW,Wrestling - Gear Bag,Wrestling,Accessories,Gear Bag,Nylon/Polyester,$35.00,$18.00,,
VOL-YAZL,Volleyball - Knee Pads,Volleyball,Practice Wear,Knee Pads,Neoprene/Polyester,$3.00,$7.00,,
VOL-ZFGD,Volleyball - Warm-Up Jacket,Volleyball,Warm-ups/Outerwear,Warm-Up Jacket,Polyester,$15.00,$30.00,,
VOL-ONY5,Volleyball - Headband/Hair Accessories,Volleyball,Accessories,Headband/Hair Accessories,Polyester/Spandex,$1.00,$3.00,,
VOL-QEZD,Volleyball - Gear Bag,Volleyball,Accessories,Gear Bag,Nylon/Polyester,$8.00,$18.00,,
VOL-FM6K,Volleyball - Game Kneepads,Volleyball,Accessories,Game Kneepads,Polyester/Neoprene,$3.00,$7.00,,
SOC-LYX4,Soccer - Game Shorts,Soccer,Uniforms,Game Shorts,Polyester,$8.00,$30.00,,
SOC-TYLG,Soccer - Soccer Socks,Soccer,Uniforms,Soccer Socks,Nylon/Polyester,$2.00,$5.00,,
SOC-CC4C,Soccer - Practice Jersey/Pinnie,Soccer,Practice Wear,Practice Jersey/Pinnie,Polyester Mesh,$4.00,$15.00,,
SOC-3T7W,Soccer - Training T-Shirt,Soccer,Practice Wear,Training T-Shirt,"Polyester, Cotton/Poly",$4.00,$12.50,,
SOC-RQE1,Soccer - Training Shorts,Soccer,Practice Wear,Training Shorts,Polyester Mesh,$5.00,$20.00,,
SOC-SY6L,Soccer - Warm-Up Jacket,Soccer,Warm-ups/Outerwear,Warm-Up Jacket,Polyester,$15.00,$35.00,,
SOC-VQTY,Soccer - Warm-Up Pants,Soccer,Warm-ups/Outerwear,Warm-Up Pants,Polyester,$12.00,$30.00,,
SOC-VHOA,Soccer - Soccer Backpack,Soccer,Accessories,Soccer Backpack,Nylon/Polyester,$10.00,$35.00,,
CHE-JLRV,Cheer - Skirt,Cheer,Uniforms,Skirt,Polyester/Spandex,$12.00,$30.00,,
CHE-M7WF,Cheer - Bodyliner Top,Cheer,Uniforms,Bodyliner Top,Polyester/Spandex,$8.00,$30.00,,
CHE-XXOO,"Cheer - Compression Shorts
",Cheer,Uniforms,Briefs/Bloomers,Nylon/Spandex,$3.00,$20.00,,
CHE-ELXG,Cheer - Practice Leggings,Cheer,Practice Wear,Practice Leggings,Polyester/Nylon/Spandex,$7.00,$20.00,,
CHE-SXXK,Cheer - Warm-Up Jacket,Cheer,Warm-ups/Outerwear,Warm-Up Jacket,Polyester,$15.00,$35.00,,
CHE-O0J2,Cheer - Warm-Up Pants,Cheer,Warm-ups/Outerwear,Warm-Up Pants,Polyester,$12.00,$30.00,,
CHE-ZQDA,Cheer - Team Hoodie,Cheer,Warm-ups/Outerwear,Team Hoodie,Cotton/Poly fleece,$15.00,$30.00,,
CHE-KDFC,Cheer - Hair Bow,Cheer,Accessories,Hair Bow,Ribbon/Satin,$2.00,$10.00,,
CHE-UFIA,Cheer - Pom-Poms,Cheer,Accessories,Pom-Poms,Plastic/Metallic,$4.00,$15.00,,
CHE-ORL8,Cheer - Gear Bag,Cheer,Accessories,Gear Bag,Polyester,$8.00,$35.00,,